Name	Position	Depth
NG_047936.1	1	2
NG_047936.1	2	2
NG_047936.1	3	2
NG_047936.1	4	2
NG_047936.1	5	2
NG_047936.1	6	2
NG_047936.1	7	2
NG_047936.1	8	2
NG_047936.1	9	2
NG_047936.1	10	2
NG_047936.1	11	2
NG_047936.1	12	2
NG_047936.1	13	2
NG_047936.1	14	2
NG_047936.1	15	2
NG_047936.1	16	2
NG_047936.1	17	2
NG_047936.1	18	2
NG_047936.1	19	2
NG_047936.1	20	2
NG_047936.1	21	0
NG_047936.1	22	2
NG_047936.1	23	2
NG_047936.1	24	2
NG_047936.1	25	2
NG_047936.1	26	2
NG_047936.1	27	2
NG_047936.1	28	2
NG_047936.1	29	2
NG_047936.1	30	2
NG_047936.1	31	2
NG_047936.1	32	2
NG_047936.1	33	2
NG_047936.1	34	2
NG_047936.1	35	2
NG_047936.1	36	2
NG_047936.1	37	2
NG_047936.1	38	2
NG_047936.1	39	2
NG_047936.1	40	2
NG_047936.1	41	2
NG_047936.1	42	2
NG_047936.1	43	2
NG_047936.1	44	2
NG_047936.1	45	2
NG_047936.1	46	2
NG_047936.1	47	2
NG_047936.1	48	2
NG_047936.1	49	2
NG_047936.1	50	2
NG_047936.1	51	2
NG_047936.1	52	2
NG_047936.1	53	2
NG_047936.1	54	2
NG_047936.1	55	2
NG_047936.1	56	2
NG_047936.1	57	2
NG_047936.1	58	2
NG_047936.1	59	2
NG_047936.1	60	2
NG_047936.1	61	2
NG_047936.1	62	2
NG_047936.1	63	2
NG_047936.1	64	2
NG_047936.1	65	2
NG_047936.1	66	2
NG_047936.1	67	2
NG_047936.1	68	2
NG_047936.1	69	2
NG_047936.1	70	2
NG_047936.1	71	2
NG_047936.1	72	2
NG_047936.1	73	2
NG_047936.1	74	2
NG_047936.1	75	2
NG_047936.1	76	2
NG_047936.1	77	2
NG_047936.1	78	2
NG_047936.1	79	2
NG_047936.1	80	2
NG_047936.1	81	2
NG_047936.1	82	2
NG_047936.1	83	2
NG_047936.1	84	2
NG_047936.1	85	2
NG_047936.1	86	2
NG_047936.1	87	2
NG_047936.1	88	2
NG_047936.1	89	2
NG_047936.1	90	2
NG_047936.1	91	2
NG_047936.1	92	2
NG_047936.1	93	2
NG_047936.1	94	2
NG_047936.1	95	2
NG_047936.1	96	2
NG_047936.1	97	2
NG_047936.1	98	2
NG_047936.1	99	2
NG_047936.1	100	2
NG_047936.1	101	2
NG_047936.1	102	2
NG_047936.1	103	2
NG_047936.1	104	2
NG_047936.1	105	2
NG_047936.1	106	2
NG_047936.1	107	2
NG_047936.1	108	2
NG_047936.1	109	2
NG_047936.1	110	2
NG_047936.1	111	2
NG_047936.1	112	2
NG_047936.1	113	2
NG_047936.1	114	2
NG_047936.1	115	2
NG_047936.1	116	2
NG_047936.1	117	2
NG_047936.1	118	2
NG_047936.1	119	2
NG_047936.1	120	2
NG_047936.1	121	2
NG_047936.1	122	2
NG_047936.1	123	2
NG_047936.1	124	2
NG_047936.1	125	2
NG_047936.1	126	2
NG_047936.1	127	2
NG_047936.1	128	2
NG_047936.1	129	2
NG_047936.1	130	2
NG_047936.1	131	2
NG_047936.1	132	2
NG_047936.1	133	2
NG_047936.1	134	1
NG_047936.1	135	1
NG_047936.1	136	2
NG_047936.1	137	2
NG_047936.1	138	2
NG_047936.1	139	3
NG_047936.1	140	3
NG_047936.1	141	3
NG_047936.1	142	3
NG_047936.1	143	3
NG_047936.1	144	3
NG_047936.1	145	3
NG_047936.1	146	3
NG_047936.1	147	4
NG_047936.1	148	4
NG_047936.1	149	4
NG_047936.1	150	4
NG_047936.1	151	4
NG_047936.1	152	3
NG_047936.1	153	4
NG_047936.1	154	3
NG_047936.1	155	3
NG_047936.1	156	3
NG_047936.1	157	3
NG_047936.1	158	3
NG_047936.1	159	3
NG_047936.1	160	3
NG_047936.1	161	3
NG_047936.1	162	3
NG_047936.1	163	3
NG_047936.1	164	3
NG_047936.1	165	3
NG_047936.1	166	3
NG_047936.1	167	3
NG_047936.1	168	3
NG_047936.1	169	3
NG_047936.1	170	3
NG_047936.1	171	3
NG_047936.1	172	3
NG_047936.1	173	3
NG_047936.1	174	3
NG_047936.1	175	3
NG_047936.1	176	3
NG_047936.1	177	3
NG_047936.1	178	3
NG_047936.1	179	3
NG_047936.1	180	3
NG_047936.1	181	3
NG_047936.1	182	3
NG_047936.1	183	3
NG_047936.1	184	3
NG_047936.1	185	3
NG_047936.1	186	3
NG_047936.1	187	3
NG_047936.1	188	3
NG_047936.1	189	3
NG_047936.1	190	3
NG_047936.1	191	3
NG_047936.1	192	3
NG_047936.1	193	3
NG_047936.1	194	3
NG_047936.1	195	3
NG_047936.1	196	3
NG_047936.1	197	3
NG_047936.1	198	3
NG_047936.1	199	3
NG_047936.1	200	3
NG_047936.1	201	3
NG_047936.1	202	3
NG_047936.1	203	3
NG_047936.1	204	3
NG_047936.1	205	3
NG_047936.1	206	3
NG_047936.1	207	3
NG_047936.1	208	3
NG_047936.1	209	3
NG_047936.1	210	3
NG_047936.1	211	3
NG_047936.1	212	3
NG_047936.1	213	3
NG_047936.1	214	3
NG_047936.1	215	3
NG_047936.1	216	3
NG_047936.1	217	3
NG_047936.1	218	3
NG_047936.1	219	3
NG_047936.1	220	3
NG_047936.1	221	3
NG_047936.1	222	3
NG_047936.1	223	3
NG_047936.1	224	3
NG_047936.1	225	3
NG_047936.1	226	3
NG_047936.1	227	3
NG_047936.1	228	3
NG_047936.1	229	3
NG_047936.1	230	3
